,Unnamed: 0,id,name,location,categories,referralId,hasPerk,venuePage
30,44,53ee4293498e3f989e530003,Asian Star,"{'address': '1766 Eglinton Ave. West', 'lat': 43.69619576781626, 'lng': -79.44802591561631, 'labeledLatLngs': [{'label': 'display', 'lat': 43.69619576781626, 'lng': -79.44802591561631}], 'postalCode': 'M6E 2H7', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['1766 Eglinton Ave. West', 'Toronto ON M6E 2H7', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
31,47,4cb3a9c2ef1b3704b7025400,Asian house,"{'address': '116 twoson rd', 'lat': 43.869613, 'lng': -79.358382, 'labeledLatLngs': [{'label': 'display', 'lat': 43.869613, 'lng': -79.358382}], 'cc': 'CA', 'city': 'Markham', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['116 twoson rd', 'Markham ON', 'Canada']}",[],v-1603875900,False,
32,49,4fa986b6e4b06123da14b3e7,Asian Food Market,"{'lat': 43.706851959228516, 'lng': -79.47852325439453, 'labeledLatLngs': [{'label': 'display', 'lat': 43.706851959228516, 'lng': -79.47852325439453}], 'cc': 'CA', 'country': 'Canada', 'formattedAddress': ['Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875900,False,
33,85,4c1a971cb9f876b0e1e57846,Asian Community AIDS Services (ACAS),"{'address': '260 Spadina Ave, Suite 410', 'crossStreet': 'at Cameron Ave.', 'lat': 43.65199101292225, 'lng': -79.39789295196533, 'labeledLatLngs': [{'label': 'display', 'lat': 43.65199101292225, 'lng': -79.39789295196533}], 'postalCode': 'M5T 2E4', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['260 Spadina Ave, Suite 410 (at Cameron Ave.)', 'Toronto ON M5T 2E4', 'Canada']}","[{'id': '4bf58dd8d48988d124941735', 'name': 'Office', 'pluralName': 'Offices', 'shortName': 'Office', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",v-1603875901,False,
34,99,5224233f2fc6fd4a8cf1ee8f,Toronto Asian Escorts,"{'address': '1075 Bay St #139', 'lat': 43.66776295950206, 'lng': -79.3882155418396, 'labeledLatLngs': [{'label': 'display', 'lat': 43.66776295950206, 'lng': -79.3882155418396}], 'postalCode': 'M5S 2B2', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['1075 Bay St #139', 'Toronto ON M5S 2B2', 'Canada']}","[{'id': '4bf58dd8d48988d11f941735', 'name': 'Nightclub', 'pluralName': 'Nightclubs', 'shortName': 'Nightclub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}, 'primary': True}]",v-1603875901,False,
35,105,4bbe23ad9474c9b6af23d9b6,fu-GEN Asian Canadian Theatre Co.,"{'address': '157 Carlton St.', 'lat': 43.66300080853044, 'lng': -79.37227529855708, 'labeledLatLngs': [{'label': 'display', 'lat': 43.66300080853044, 'lng': -79.37227529855708}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['157 Carlton St.', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d124941735', 'name': 'Office', 'pluralName': 'Offices', 'shortName': 'Office', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}, 'primary': True}]",v-1603875901,False,
36,106,4de827e4d4c0faa56428a51a,Yulla Asian Fusion Restaurant,"{'lat': 43.651587, 'lng': -79.379232, 'labeledLatLngs': [{'label': 'display', 'lat': 43.651587, 'lng': -79.379232}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875901,False,
37,110,4b1be39df964a5209cfe23e3,Chic Chinoise Pan Asian Cuisine,"{'address': '214 King St. W', 'crossStreet': 'Simcoe', 'lat': 43.647074087706535, 'lng': -79.38617571756487, 'labeledLatLngs': [{'label': 'display', 'lat': 43.647074087706535, 'lng': -79.38617571756487}], 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['214 King St. W (Simcoe)', 'Toronto ON', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875901,False,
38,111,4c62e74a79d1e21e7340d715,Lotus Leaf Asian Cuisine,"{'address': '200 Elizabeth', 'crossStreet': 'Elizabeth Ave & University', 'lat': 43.659215710562954, 'lng': -79.38935360567741, 'labeledLatLngs': [{'label': 'display', 'lat': 43.659215710562954, 'lng': -79.38935360567741}], 'postalCode': 'M5G', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['200 Elizabeth (Elizabeth Ave & University)', 'Toronto ON M5G', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875901,False,
39,114,4fcd193a754a56793a2651a5,Tasty Asian Cuisine,"{'address': '649 Yonge St.', 'crossStreet': 'btwn Charles & Isabella', 'lat': 43.66794921757952, 'lng': -79.3856406211853, 'labeledLatLngs': [{'label': 'display', 'lat': 43.66794921757952, 'lng': -79.3856406211853}], 'postalCode': 'M4Y 1Z9', 'cc': 'CA', 'city': 'Toronto', 'state': 'ON', 'country': 'Canada', 'formattedAddress': ['649 Yonge St. (btwn Charles & Isabella)', 'Toronto ON M4Y 1Z9', 'Canada']}","[{'id': '4bf58dd8d48988d142941735', 'name': 'Asian Restaurant', 'pluralName': 'Asian Restaurants', 'shortName': 'Asian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",v-1603875901,False,
